x,numerical,analytical,error
0,3.08194,3.07716,0.00477613
0.00628947,3.08677,3.082,0.00477602
0.0125789,3.09161,3.08684,0.00477591
0.0188684,3.09645,3.09168,0.0047758
0.0251579,3.10129,3.09651,0.00477569
0.0314474,3.10613,3.10135,0.00477557
0.0377368,3.11097,3.10619,0.00477546
0.0440263,3.1158,3.11103,0.00477534
0.0503158,3.12064,3.11587,0.00477523
0.0566053,3.12548,3.12071,0.00477511
0.0628947,3.13032,3.12554,0.00477499
0.0691842,3.13516,3.13038,0.00477487
0.0754737,3.14,3.13522,0.00477474
0.0817632,3.14483,3.14006,0.00477461
0.0880526,3.14967,3.1449,0.00477448
0.0943421,3.15451,3.14974,0.00477435
0.100632,3.15935,3.15457,0.00477422
0.106921,3.16419,3.15941,0.00477408
0.113211,3.16903,3.16425,0.00477394
0.1195,3.17386,3.16909,0.00477379
0.125789,3.1787,3.17393,0.00477364
0.132079,3.18354,3.17877,0.00477349
0.138368,3.18838,3.18361,0.00477333
0.144658,3.19322,3.18844,0.00477317
0.150947,3.19806,3.19328,0.004773
0.157237,3.20289,3.19812,0.00477283
0.163526,3.20773,3.20296,0.00477265
0.169816,3.21257,3.2078,0.00477246
0.176105,3.21741,3.21264,0.00477227
0.182395,3.22225,3.21747,0.00477207
0.188684,3.22708,3.22231,0.00477186
0.194974,3.23192,3.22715,0.00477164
0.201263,3.23676,3.23199,0.00477142
0.207553,3.2416,3.23683,0.00477118
0.213842,3.24644,3.24167,0.00477094
0.220132,3.25128,3.2465,0.00477068
0.226421,3.25611,3.25134,0.00477041
0.232711,3.26095,3.25618,0.00477013
0.239,3.26579,3.26102,0.00476983
0.24529,3.27063,3.26586,0.00476953
0.251579,3.27547,3.2707,0.0047692
0.257868,3.2803,3.27554,0.00476886
0.264158,3.28514,3.28037,0.0047685
0.270447,3.28998,3.28521,0.00476813
0.276737,3.29482,3.29005,0.00476773
0.283026,3.29966,3.29489,0.00476732
0.289316,3.30449,3.29973,0.00476688
0.295605,3.30933,3.30457,0.00476642
0.301895,3.31417,3.3094,0.00476593
0.308184,3.31901,3.31424,0.00476542
0.314474,3.32385,3.31908,0.00476488
0.320763,3.32868,3.32392,0.00476431
0.327053,3.33352,3.32876,0.00476371
0.333342,3.33836,3.3336,0.00476308
0.339632,3.3432,3.33843,0.00476241
0.345921,3.34804,3.34327,0.00476171
0.352211,3.35287,3.34811,0.00476096
0.3585,3.35771,3.35295,0.00476018
0.36479,3.36255,3.35779,0.00475935
0.371079,3.36739,3.36263,0.00475848
0.377368,3.37222,3.36747,0.00475756
0.383658,3.37706,3.3723,0.00475658
0.389947,3.3819,3.37714,0.00475556
0.396237,3.38674,3.38198,0.00475447
0.402526,3.39157,3.38682,0.00475333
0.408816,3.39641,3.39166,0.00475213
0.415105,3.40125,3.3965,0.00475086
0.421395,3.40608,3.40133,0.00474952
0.427684,3.41092,3.40617,0.00474811
0.433974,3.41576,3.41101,0.00474663
0.440263,3.42059,3.41585,0.00474506
0.446553,3.42543,3.42069,0.00474341
0.452842,3.43027,3.42553,0.00474168
0.459132,3.43511,3.43037,0.00473985
0.465421,3.43994,3.4352,0.00473793
0.471711,3.44478,3.44004,0.00473591
0.478,3.44961,3.44488,0.00473378
0.48429,3.45445,3.44972,0.00473155
0.490579,3.45929,3.45456,0.0047292
0.496869,3.46412,3.4594,0.00472673
0.503158,3.46896,3.46423,0.00472414
0.509447,3.47379,3.46907,0.00472142
0.515737,3.47863,3.47391,0.00471856
0.522026,3.48347,3.47875,0.00471556
0.528316,3.4883,3.48359,0.00471242
0.534605,3.49314,3.48843,0.00470913
0.540895,3.49797,3.49326,0.00470568
0.547184,3.50281,3.4981,0.00470206
0.553474,3.50764,3.50294,0.00469828
0.559763,3.51247,3.50778,0.00469431
0.566053,3.51731,3.51262,0.00469017
0.572342,3.52214,3.51746,0.00468583
0.578632,3.52698,3.5223,0.0046813
0.584921,3.53181,3.52713,0.00467656
0.591211,3.53664,3.53197,0.00467161
0.5975,3.54148,3.53681,0.00466644
0.60379,3.54631,3.54165,0.00466105
0.610079,3.55114,3.54649,0.00465542
0.616369,3.55598,3.55133,0.00464956
0.622658,3.56081,3.55616,0.00464344
0.628947,3.56564,3.561,0.00463707
0.635237,3.57047,3.56584,0.00463043
0.641526,3.5753,3.57068,0.00462352
0.647816,3.58013,3.57552,0.00461633
0.654105,3.58497,3.58036,0.00460885
0.660395,3.5898,3.58519,0.00460107
0.666684,3.59463,3.59003,0.00459299
0.672974,3.59946,3.59487,0.00458459
0.679263,3.60429,3.59971,0.00457587
0.685553,3.60912,3.60455,0.00456682
0.691842,3.61394,3.60939,0.00455744
0.698132,3.61877,3.61423,0.0045477
0.704421,3.6236,3.61906,0.00453761
0.710711,3.62843,3.6239,0.00452715
0.717,3.63326,3.62874,0.00451633
0.72329,3.63808,3.63358,0.00450512
0.729579,3.64291,3.63842,0.00449352
0.735869,3.64774,3.64326,0.00448153
0.742158,3.65256,3.64809,0.00446913
0.748447,3.65739,3.65293,0.00445632
0.754737,3.66221,3.65777,0.00444308
0.761026,3.66704,3.66261,0.00442942
0.767316,3.67186,3.66745,0.00441532
0.773605,3.67669,3.67229,0.00440078
0.779895,3.68151,3.67713,0.00438579
0.786184,3.68633,3.68196,0.00437034
0.792474,3.69116,3.6868,0.00435443
0.798763,3.69598,3.69164,0.00433804
0.805053,3.7008,3.69648,0.00432118
0.811342,3.70562,3.70132,0.00430383
0.817632,3.71044,3.70616,0.00428599
0.823921,3.71526,3.71099,0.00426766
0.830211,3.72008,3.71583,0.00424883
0.8365,3.7249,3.72067,0.00422949
0.84279,3.72972,3.72551,0.00420964
0.849079,3.73454,3.73035,0.00418928
0.855369,3.73935,3.73519,0.0041684
0.861658,3.74417,3.74002,0.004147
0.867948,3.74899,3.74486,0.00412508
0.874237,3.7538,3.7497,0.00410263
0.880526,3.75862,3.75454,0.00407965
0.886816,3.76343,3.75938,0.00405613
0.893105,3.76825,3.76422,0.00403209
0.899395,3.77306,3.76906,0.00400751
