x,numerical
0,3.07226
0.00628947,3.0771
0.0125789,3.08194
0.0188684,3.08677
0.0251579,3.09161
0.0314474,3.09645
0.0377368,3.10129
0.0440263,3.10613
0.0503158,3.11097
0.0566053,3.1158
0.0628947,3.12064
0.0691842,3.12548
0.0754737,3.13032
0.0817632,3.13516
0.0880526,3.14
0.0943421,3.14483
0.100632,3.14967
0.106921,3.15451
0.113211,3.15935
0.1195,3.16419
0.125789,3.16903
0.132079,3.17386
0.138368,3.1787
0.144658,3.18354
0.150947,3.18838
0.157237,3.19322
0.163526,3.19806
0.169816,3.2029
0.176105,3.20773
0.182395,3.21257
0.188684,3.21741
0.194974,3.22225
0.201263,3.22709
0.207553,3.23193
0.213842,3.23676
0.220132,3.2416
0.226421,3.24644
0.232711,3.25128
0.239,3.25612
0.24529,3.26096
0.251579,3.2658
0.257868,3.27063
0.264158,3.27547
0.270447,3.28031
0.276737,3.28515
0.283026,3.28999
0.289316,3.29483
0.295605,3.29967
0.301895,3.3045
0.308184,3.30934
0.314474,3.31418
0.320763,3.31902
0.327053,3.32386
0.333342,3.3287
0.339632,3.33354
0.345921,3.33838
0.352211,3.34322
0.3585,3.34805
0.36479,3.35289
0.371079,3.35773
0.377368,3.36257
0.383658,3.36741
0.389947,3.37225
0.396237,3.37709
0.402526,3.38193
0.408816,3.38677
0.415105,3.39161
0.421395,3.39645
0.427684,3.40129
0.433974,3.40613
0.440263,3.41097
0.446553,3.41581
0.452842,3.42065
0.459132,3.42549
0.465421,3.43033
0.471711,3.43517
0.478,3.44001
0.48429,3.44485
0.490579,3.44969
0.496869,3.45453
0.503158,3.45937
0.509447,3.46421
0.515737,3.46905
0.522026,3.47389
0.528316,3.47873
0.534605,3.48357
0.540895,3.48842
0.547184,3.49326
0.553474,3.4981
0.559763,3.50294
0.566053,3.50778
0.572342,3.51263
0.578632,3.51747
0.584921,3.52231
0.591211,3.52715
0.5975,3.532
0.60379,3.53684
0.610079,3.54168
0.616369,3.54653
0.622658,3.55137
0.628947,3.55622
0.635237,3.56106
0.641526,3.56591
0.647816,3.57075
0.654105,3.5756
0.660395,3.58044
0.666684,3.58529
0.672974,3.59014
0.679263,3.59498
0.685553,3.59983
0.691842,3.60468
0.698132,3.60952
0.704421,3.61437
0.710711,3.61922
0.717,3.62407
0.72329,3.62892
0.729579,3.63377
0.735869,3.63862
0.742158,3.64347
0.748447,3.64832
0.754737,3.65317
0.761026,3.65802
0.767316,3.66287
0.773605,3.66773
0.779895,3.67258
