x,numerical,analytical,abs_error
0,1.00746,1,0.00746301
0.02,1.01509,1.00812,0.00696596
0.04,1.02304,1.01642,0.00662678
0.06,1.03149,1.02505,0.0064379
0.08,1.04057,1.03418,0.00639075
0.1,1.05044,1.04397,0.00647597
0.12,1.06125,1.05456,0.0066835
0.14,1.07311,1.06611,0.00700273
0.16,1.08616,1.07873,0.00742251
0.18,1.10048,1.09255,0.00793123
0.2,1.11617,1.10766,0.00851684
0.22,1.1333,1.12413,0.00916693
0.24,1.15189,1.14203,0.00986874
0.26,1.17198,1.16138,0.0106093
0.28,1.19356,1.18218,0.0113756
0.3,1.21658,1.20443,0.0121545
0.32,1.24099,1.22806,0.0129333
0.34,1.26669,1.25299,0.0136998
0.36,1.29354,1.2791,0.0144422
0.38,1.3214,1.30625,0.01515
0.4,1.35009,1.33427,0.0158138
0.42,1.37938,1.36295,0.0164256
0.44,1.40904,1.39206,0.0169791
0.46,1.43882,1.42135,0.0174699
0.48,1.46845,1.45055,0.0178954
0.5,1.49762,1.47936,0.0182551
0.52,1.52605,1.5075,0.0185504
0.54,1.55344,1.53465,0.0187845
0.56,1.57948,1.56052,0.0189622
0.58,1.60389,1.5848,0.0190899
0.6,1.62639,1.60722,0.0191749
0.62,1.64671,1.62748,0.0192249
0.64,1.66461,1.64536,0.0192484
0.66,1.67988,1.66062,0.0192533
0.68,1.69232,1.67307,0.019247
0.7,1.70179,1.68256,0.0192362
0.72,1.70817,1.68895,0.0192259
0.74,1.71138,1.69216,0.0192198
0.76,1.71138,1.69216,0.0192198
0.78,1.70817,1.68895,0.0192258
0.8,1.70179,1.68256,0.019236
0.82,1.69232,1.67307,0.0192467
0.84,1.67988,1.66062,0.0192528
0.86,1.66461,1.64536,0.0192477
0.88,1.64671,1.62749,0.0192239
0.9,1.62639,1.60722,0.0191734
0.92,1.6039,1.58481,0.0190878
0.94,1.57949,1.56053,0.0189592
0.96,1.55344,1.53466,0.0187801
0.98,1.52606,1.50752,0.0185442
1,1.49763,1.47939,0.0182464
1.02,1.46846,1.45058,0.0178831
1.04,1.43885,1.4214,0.0174528
1.06,1.40908,1.39213,0.0169555
1.08,1.37943,1.36304,0.0163931
1.1,1.35016,1.33439,0.0157695
1.12,1.32151,1.30642,0.01509
1.14,1.29369,1.27932,0.0143613
1.16,1.26688,1.25329,0.0135916
1.18,1.24126,1.22847,0.0127897
1.2,1.21694,1.20497,0.011965
1.22,1.19404,1.18291,0.0111272
1.24,1.17262,1.16233,0.0102861
1.26,1.15274,1.14328,0.0094509
1.28,1.1344,1.12577,0.00863045
1.3,1.11762,1.10979,0.0078327
1.32,1.10237,1.0953,0.00706467
1.34,1.08859,1.08226,0.0063323
1.36,1.07624,1.0706,0.00564043
1.38,1.06524,1.06025,0.00499271
1.4,1.05551,1.05112,0.00439165
1.42,1.04696,1.04312,0.0038387
1.44,1.0395,1.03616,0.00333428
1.46,1.03303,1.03015,0.00287794
1.48,1.02746,1.02499,0.00246843
1.5,1.0227,1.02059,0.00210389
1.52,1.01865,1.01687,0.00178191
1.54,1.01523,1.01373,0.00149974
1.56,1.01237,1.01111,0.00125432
1.58,1.00998,1.00894,0.00104249
1.6,1.00801,1.00715,0.000861005
1.62,1.00639,1.00568,0.000706665
1.64,1.00507,1.00449,0.000576365
1.66,1.00399,1.00352,0.000467154
1.68,1.00313,1.00275,0.000376274
1.7,1.00243,1.00213,0.000301183
1.72,1.00188,1.00164,0.000239573
1.74,1.00145,1.00126,0.000189377
1.76,1.00111,1.00096,0.000148762
1.78,1.00084,1.00073,0.000116121
1.8,1.00064,1.00055,9.00649e-05
1.82,1.00048,1.00041,6.93992e-05
1.84,1.00036,1.0003,5.31092e-05
1.86,1.00027,1.00022,4.03393e-05
1.88,1.0002,1.00017,3.03727e-05
1.9,1.00015,1.00012,2.26127e-05
1.92,1.00011,1.00009,1.65627e-05
1.94,1.00008,1.00007,1.18091e-05
1.96,1.00006,1.00006,8.00385e-06
1.98,1.00005,1.00005,4.84833e-06
2,1.00005,1.00004,2.07824e-06
